Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34196228,The Innovation Blind Spot: Why We Back the Wrong Ideas And What to Do about It,Ross Baird,"Baird, Ross",Steve Case,1944648615,9781944648619,4,4.09,BenBella Books,Hardcover,240,2017,,,9/12/17,,,read,,,,1,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,0316346624,9780316346627,0,4,Time Warner Book Group,Paperback,301,2002,2002,,12/20/18,,,read,,,,1,0
30629730,A Colony in a Nation,Chris Hayes,"Hayes, Chris",,0393254224,9780393254228,0,4.19,W. W. Norton & Company,Hardcover,256,2017,2017,,5/14/17,,,read,,,,1,0
168642,In Cold Blood,Truman Capote,"Capote, Truman",,0679745580,9780679745587,0,4.09,Vintage,Paperback,343,1994,1959,,8/18/16,,,read,,,,1,0
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Albert R. Hibbs, Ralph Leighton, Edward Hutchings",0393316041,9780393316049,0,4.27,W. W. Norton & Company,Paperback,391,1997,1985,,11/12/17,,,read,,,,1,0
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,1594205078,9781594205071,4,4.41,Penguin Press,Hardcover,790,2017,2017,,8/3/17,,,read,,,,1,0
23657771,Tower of the Sun: Stories From the Middle East and North Africa,Michael J. Totten,"Totten, Michael J.",,,,4,3.89,Belmont Estate Books,Kindle Edition,272,2014,2014,,8/8/16,,,read,,,,1,0
33673455,Scars of Independence: America's Violent Birth,Holger Hoock,"Hoock, Holger",,,,2,3.87,Crown,Kindle Edition,552,2017,2017,11/11/17,7/4/17,,,read,,,,1,0
2767,A People’s History of the United States: 1492 - Present,Howard Zinn,"Zinn, Howard",,0060838655,9780060838652,4,4.08,Harper Perennial,Paperback,729,1995,1980,,11/5/17,,,read,,,,1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,0553803719,9780553803716,4,4.17,Bantam,Hardcover,244,2004,1951,,11/12/17,,,read,,,,1,0
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,0553447432,9780553447439,5,4.47,Crown Publishers,Hardcover,418,2016,2016,,3/3/18,,,read,,,,1,0
